seller_fee_basis_points	standardWidth	rv	is_alpha	thumbnail	type	external_uri	dist	is dynamic	background_color	updates	prestige	coordinates_bottom_right	Genre	Address	temperature	z	generation	subtitle	creators	xp	features	apiURL	color	payout_address	marble_attributes	ETH$	image_url	offset	bayer	Author	gif_url	var_max	token_id	copyright_transfer	description	image_data	royalty_amount	tokenID	animation_url	decimals	xWidth	Release Qty	id	base	var_min	animation_image	home_url	desc	amount	adw	landmark	archival_url	version	tokenNumber	uniqueComboId	designer	edizione	maxSupply	vz	imageid	image_cover	Watch	lum	texture_orm	updatedAt	canvasImage	BTC Block Height	abilities	var	numAvailable	interactive_nft	preview_images	assetType	resellable	image_original	series	pmrarad	aspect ratio (w/h)	collection_name	scarf	license_url	timestamp	yearCreated	error	original	auctionLength	printableSeries	static-image	tokenId	seed	combination	created_at	shape_obj	attributes	audio	original_creator	scale	mouth	external_link	COMMS	status	token_hash	symbol	canvasWidthInPx	canvases	collection_url	rarity	updated_at	createdAt	icon	media	minted	gasless	edition_total	vintageImage	shape_gltf	Hat	principal	store	title	forSale	mapping_id	token_uri	artwork code	hip	author	radius	dec	eyes	contract	tune_token_id	template	owner	card_id	comp	con	Reference	edition_number	isRevealed	awp	auctionType	listing_id	genome	sale	number_attributes	intermediateLevelSegment	collection	image	bf	total_editions	seriale	created_by	file_key	sensitive_content	Minted By	mag	spect	surname	image_profile_circle	matrix	image_no_bg_url	hash	pmdec	borrow	isFairDice	Date	date	ra	tokenid	animation_details	url	epithets	Website	Body	uses hash	artwork id	externalUrl	collection_id	external_url	createdBy	origin_cid	legal	animationUrls	extra_data	image_full	address	Ball	yHeight	sub_category	variety	artwork number	store_id	copyright	token_address	script type	glb	comp_primary	Artists	properties	compiler	ipfs	texture_bc	hr	audio_original	pmra	core_attributes	randomSeedData	ipfs_image	gl	artist	name	dna	script_type	image_ipfs	img	traits	contractAddress	license	website	flam	personality	rank	fee_recipient	tags	spectral_type	Clothes	Glass	ratio	ci	Type	avatar_url	coordinates_top_left	result	nft_contract_address	cannon_assetId	taskId	alt	ethPrice	created_year	initialLevelSegment	fiatPrice	cover_image_set	chainId	pmdecrad	rarad	amountToMint	poem	DeepestMystery	download	price	contributors	social_media	hd	image_profile_square	vy	totalReturns	visibility	originalIndex	iframe_url	message	absmag	finalLevelSegment	category	decrad	animation	stats	image_details	video	mintedOn	Background Color	creator	backgroundColor	x	colors	_id	Authors	Series	extras_future_url	platform	proper	edition	y	aspect_ratio	gamefi_URI	particleType	minter	language	vx	artwork serial	slot	dependencies	canvasHeightInPx	number	youtube_url
																																			House Plan																																																						105					trait_type,value																																																					0x32887799bA0d479fa9495c4f1dd28178b37068e5	https://gateway.pinata.cloud/ipfs/QmTJ7is8MWTvAofyoy9ZBeMAgMHTMpbofqKy7spKt5Z1An																															https://www.feltzine.art																																Monstera in Greek Vase pot																																																																																			
																																			The MaskDA				ipfs://Qme7NJEazNUkUpcT3wQ8RFAFXvQq38UaDjrQxwZYpXr5Mb																																																		138																																																										0x47a11526eD2d67e7EB08B88D09eb6F1569Cc3Ff3	ipfs://QmXGBNB7bacJQcEfT4r8Fu1Unk4i9LQnXHeVnX5ziK5FdB																																																															MaskDAO Golden Ticket																																																																																			
																																			Pumpkids i																																																						107					trait_type,value																																																					0x75E510cc4eBFcE667387E0B9A0a2C8753bd95114	ipfs://QmSWre3gfPySnpgEic3UtGjsUZCHcPa3PAzqSuaQerv1Cb/107.png																			1634023213847																																	Pumpkinator											Pumpkid #107	8559643df6f1c09c2f6ca600e032f63ca1de2b99																																																																					107													
					Bitsee Naka				FFFFFF																										Legendary 																																																						105					max_value,trait_type,display_type,value																																																					0x3CD41EC039c1F2DD1f76144bb3722E7b503f50ab	https://cg.mypinata.cloud/ipfs/QmcPVQGhKbroWAqGnQ3Aab8BEAftjV3sXtXxRqcsdH1XEe																															https://api.chainguardians.io/api/opensea/105																																Bitsee Naka #6																																																																																			
																																			HIDDEN ONE																																																						191					trait_type,value																																																					0xc314f59A2e1559007c98BFdD36658866A2b7be59	ipfs://bafybeiepetd474pppga6kyc4ahamanq66fzjk7tkonpuk7tikgpovxlwee																																																															J̖̈̈a͈͆̀ś̰͡d̡͐̂a̡̠͟																																																																																			
																																			Queen Of H				ipfs://QmXwpaKsXwK9Wec8CozMRbEehVMykFG1wUmkNNFh4xURFL/Queen%20of%20Hearts%202:2.mp4																																																		34					trait_type,value																																																					0x21349dD7323e204cC9DD4ee8A86d4f5CC64D4a85	ipfs://QmaDrKurzJkKe1vcyaxjDjB7JGTnCNoXMDW7QzkbYPhqth/Queen%20Of%20Hearts%202:2.png																															https://www.ineshelene.com/shroomies																																																																																																																			
																																			Issued by 																																																						100010																																																										0x3488666d4707817DCef95108Ad25B04c1b2afBFC	data:image/svg+xml;base64,PHN2ZyB2ZXJzaW9uPSIxLjEiIGlkPSJMaXZlbGxvXzEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgeG1sbnM6eGxpbms9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkveGxpbmsiIHg9IjBweCIgeT0iMHB4Igkgdmlld0JveD0iMCAwIDI0Mi42NSAxNTMuMDEiIHN0eWxlPSJlbmFibGUtYmFja2dyb3VuZDpuZXcgMCAwIDI0Mi42NSAxNTMuMDE7IiB4bWw6c3BhY2U9InByZXNlcnZlIj48c3R5bGUgdHlwZT0idGV4dC9jc3MiPgkuc3Qwe2ZpbGw6I0Y0RjRGNDt9CS5zdDF7ZmlsbDojNDk0RDlCO30JLnN0Mntmb250LWZhbWlseToiSGVsdmV0aWNhLUJvbGQiO30JLnN0M3tmb250LXNpemU6NDUuNjY2MXB4O30JLnN0NHtmaWxsOm5vbmU7c3Ryb2tlOiM0OTREOUI7c3Ryb2tlLW1pdGVybGltaXQ6MTA7fQkuc3Q1e2VuYWJsZS1iYWNrZ3JvdW5kOm5ldyAgICA7fQkuc3Q2e2ZvbnQtZmFtaWx5OiJIZWx2ZXRpY2EiO30JLnN0N3tmb250LXNpemU6Ni41MjM3cHg7fQkuc3Q4e2ZvbnQtc2l6ZToxMS41OTc3cHg7fQkuc3Q5e2ZvbnQtc2l6ZToxMXB4O30JLnN0MTB7Zm9udC1zaXplOjcuOTczNHB4O30JLnN0MTF7ZmlsbDpub25lO3N0cm9rZTojNDk0RDlCO3N0cm9rZS13aWR0aDowLjU7c3Ryb2tlLW1pdGVybGltaXQ6MTA7fQkuc3QxMntmaWxsOm5vbmU7fQkuc3QxM3tmb250LXNpemU6NS4wNzRweDt9CS5zdDE0e2ZpbGw6bm9uZTtzdHJva2U6IzQ5NEQ5QjtzdHJva2Utd2lkdGg6MS41O3N0cm9rZS1saW5lY2FwOnJvdW5kO3N0cm9rZS1taXRlcmxpbWl0OjEwO308L3N0eWxlPjxwYXRoIGNsYXNzPSJzdDAiIGQ9Ik0yMzMuMTMsMEg5LjUxQzQuMjYsMCwwLDQuMzQsMCw5Ljd2MTMzLjYyYzAsNS4zNiw0LjI2LDkuNyw5LjUxLDkuN2gyMjMuNjJjNS4yNSwwLDkuNTEtNC4zNCw5LjUxLTkuN1Y5LjcJQzI0Mi42NSw0LjM0LDIzOC4zOSwwLDIzMy4xMywweiIvPjx0ZXh0IHRyYW5zZm9ybT0ibWF0cml4KDAgLTEgMSAwIDIyNy4zNzAzIDE0Mi4wODE3KSIgY2xhc3M9InN0MSBzdDIgc3QzIj5GaWF0MjQ8L3RleHQ+PGc+CTxnPgkJPGVsbGlwc2UgY2xhc3M9InN0NCIgY3g9IjM5LjU2IiBjeT0iMzAuNDkiIHJ4PSIxNi4yNCIgcnk9IjE1LjY3Ii8+CQk8cGF0aCBjbGFzcz0ic3Q0IiBkPSJNNTkuNjMsMzAuNDljMCw3LjMxLTYuMTQsMTMuMjMtMTMuNzIsMTMuMjNjLTcuNTcsMC0xMy43Mi01LjkyLTEzLjcyLTEzLjIzYzAtNy4zMSw2LjE0LTEzLjIzLDEzLjcyLTEzLjIzCQkJQzUzLjQ5LDE3LjI2LDU5LjYzLDIzLjE4LDU5LjYzLDMwLjQ5eiIvPgk8L2c+CTxwYXRoIGNsYXNzPSJzdDQiIGQ9Ik02MywzMC40OWMwLDUuMi00LjM3LDkuNDItOS43Niw5LjQyYy01LjM5LDAtOS43Ni00LjIyLTkuNzYtOS40MmMwLTUuMiw0LjM3LTkuNDIsOS43Ni05LjQyCQlDNTguNjMsMjEuMDcsNjMsMjUuMjksNjMsMzAuNDl6Ii8+PC9nPjx0ZXh0IHRyYW5zZm9ybT0ibWF0cml4KDEgMCAwIDEgMjIgMTE4KSIgY2xhc3M9InN0NSIgbGV0dGVyLXNwYWNpbmc9IjEuMCI+PHRzcGFuIHg9IjAiIHk9IjAiIGNsYXNzPSJzdDEgc3Q2IHN0NyI+YS9jOjwvdHNwYW4+PHRzcGFuIHg9IjEwLjUyIiB5PSIwIiBjbGFzcz0ic3QxIHN0NiBzdDgiPiA8L3RzcGFuPjx0c3BhbiB4PSIxMy44OSIgeT0iMCIgY2xhc3M9InN0MSBzdDYgc3Q5Ij4xMDAwMTA8L3RzcGFuPjwvdGV4dD48dGV4dCB0cmFuc2Zvcm09Im1hdHJpeCgxIDAgMCAxIDIyIDEzMSkiIGNsYXNzPSJzdDUiPjx0c3BhbiB4PSIwIiB5PSIwIiBjbGFzcz0ic3QxIHN0NiBzdDciPnN0YXR1czo8L3RzcGFuPjx0c3BhbiB4PSIxOS4yMiIgeT0iMCIgY2xhc3M9InN0MSBzdDIgc3QxMCI+IDwvdHNwYW4+PHRzcGFuIHg9IjIxLjQzIiB5PSIwIiBjbGFzcz0ic3QxIHN0NiBzdDkiPk5ldzwvdHNwYW4+PC90ZXh0PjxsaW5lIGNsYXNzPSJzdDExIiB4MT0iMTUxLjY3IiB5MT0iMCIgeDI9IjE1MS42NyIgeTI9IjExNS4xNiIvPjxyZWN0IHg9IjEzMy43NyIgeT0iMTE0Ljk2IiBjbGFzcz0ic3QxMiIgd2lkdGg9IjMxLjE3IiBoZWlnaHQ9IjMyLjEyIi8+PHJlY3QgeD0iMjMxLjM1IiB5PSItMC44MiIgY2xhc3M9InN0MTIiIHdpZHRoPSI1LjgxIiBoZWlnaHQ9IjYyLjciLz48dGV4dCB0cmFuc2Zvcm09Im1hdHJpeCgwIC0xIDEgMCAyMzQuOTk0NiA2MS44NzUpIiBjbGFzcz0ic3QxIHN0NiBzdDEzIj5EaWZmZXJlbnQgZnJvbSBCYW5rczwvdGV4dD48cGF0aCBjbGFzcz0ic3QxIiBkPSJNMTQxLjMzLDE1Mi43YzAtMS42NywwLjI1LTMuMjQsMC43Ny00LjdjMC41MS0xLjQ2LDEuMjQtMi43NSwyLjE5LTMuODZjMC45NS0xLjExLDIuMTEtMS45OSwzLjQ4LTIuNjQJYzEuMzctMC42NSwyLjkxLTAuOTcsNC42My0wLjk3YzMuODUsMCw2LjY5LDEuMDMsOC41MiwzLjFjMS44MywyLjA2LDIuNzUsNSwyLjc1LDguOGMwLDAuMi0wLjAxLDAuNC0wLjAyLDAuNmg0LjQ2CWMwLTAuMTUsMC4wMi0wLjMsMC4wMi0wLjQ2YzAtNC45Mi0xLjM2LTguNzgtNC4wNy0xMS41OWMtMi43MS0yLjgxLTYuNTUtNC4yMS0xMS41Mi00LjIxYy0xLjgxLDAtMy4zNiwwLjIyLTQuNjYsMC42NgljLTEuMywwLjQ0LTIuNDQsMS4wMi0zLjQxLDEuNzRjLTAuOTcsMC43Mi0xLjg0LDEuNTQtMi42MSwyLjQ3Yy0wLjc3LDAuOTMtMS41LDEuODYtMi4xOSwyLjc4YzAuMTgtMi4zMiwwLjQ0LTQuNzgsMC43Ny03LjM4CWMwLjMyLTIuNiwwLjk1LTUsMS44OC03LjJjMC45My0yLjIsMi4yNi00LjAyLDQtNS40NmMxLjc0LTEuNDQsNC4xMi0yLjE2LDcuMTMtMi4xNmMyLjY0LDAsNC43MywwLjc1LDYuMjYsMi4yNgljMS41MywxLjUxLDIuNTUsMy41MSwzLjA2LDYuMDJoNC41OWMtMC40Ni0zLjk0LTItNi45My00LjU5LTguOThjLTIuNi0yLjA0LTUuODUtMy4wNi05Ljc0LTMuMDZjLTMuNjIsMC02LjU4LDAuODMtOC44NywyLjUxCWMtMi4zLDEuNjctNC4xMSwzLjgtNS40Myw2LjRjLTEuMzIsMi42LTIuMjQsNS40Ni0yLjc1LDguNTljLTAuNTEsMy4xMy0wLjc3LDYuMTYtMC43Nyw5LjA4YzAsMi45NywwLjIxLDUuNjMsMC42Myw3Ljk3aDUuNQlDMTQxLjM0LDE1Mi45MSwxNDEuMzMsMTUyLjgsMTQxLjMzLDE1Mi43eiIvPjxnPgk8cGF0aCBjbGFzcz0ic3QxNCIgZD0iTTIzLjYyLDc5LjNjMCwwLDEuNi0wLjYzLDEuNi0yLjQzYzAtMi4wNS0xLjcyLTIuNzItMS43Mi0yLjcyIi8+CTxwYXRoIGNsYXNzPSJzdDE0IiBkPSJNMjYuMzgsODAuNzJjMi44NS0yLjY2LDIuODEtNS4zMS0wLjE4LTcuOTQiLz4JPHBhdGggY2xhc3M9InN0MTQiIGQ9Ik0yOC45OSw3MS4xMWMzLjg3LDMuNiwzLjk2LDcuMjgsMC4zNCwxMC44NiIvPgk8cGF0aCBjbGFzcz0ic3QxNCIgZD0iTTMxLjU3LDY5LjQyYzUuMDUsNC41NSw0Ljc1LDkuNzIsMC43NCwxMy45NSIvPjwvZz48L3N2Zz4=																															https://www.fiat24.com																																Fiat24 Account 100010 (New)																																																																																			
																																																																																									100					trait_type,value																																																					0xc374B24F31cF9AAbd989283f174bdb61f05a7B9d	https://meatcubes-images.s3.amazonaws.com/AYhwZOZ5ZkIoivY.png																															https://cubes.wtf																																Meatcube #100																																																																																			
																											https://arweave.net/MCLOrh3_oSdj5Xjnsb9b6FypsgbD3YASp98i2UM2KYo								"Meow.

Mic"				https://arweave.net/_IhFnLdnnnzpp0p-Is8rBwGW2RWEaE7Wl32S1WszCGc																																																		101					max_value,trait_type,display_type,value																																																					0xfcE4Bf28aB33A38BFB8BF3604AE6F09Fa78Ff6ce	https://arweave.net/MCLOrh3_oSdj5Xjnsb9b6FypsgbD3YASp98i2UM2KYo				Mad Dog Jones																		{'sha256': 'ff41ea91186aef63edcdce6add5f34c0d12d4166e145e7fdf088f6eeeffa8c28', 'bytes': 27294968, 'width': 4800, 'height': 6000, 'duration': 21, 'format': 'MP4', 'codecs': ['H.264', 'AAC']}																																									I no longer exist. #1/99																																																						https://arweave.net/_IhFnLdnnnzpp0p-Is8rBwGW2RWEaE7Wl32S1WszCGc		{'sha256': '1aae4785c05f9a242799fa2636098d1390210bc6267498acd39900d8d3678568', 'bytes': 14244289, 'width': 4800, 'height': 6000, 'format': 'PNG'}																											
																																			***Minting																																																						100					trait_type,value																																																					0x5e0b6CF22f43D3Bb6DF79bFcd8391b5930391e2A	ipfs://QmPqsuX1Xy3UcD232cnnKMbt8DoGtBbVWdvKCRvKvU3j85/100.jpg																																																															SoupDuck #100																																																																																			
																																																																																									1022					trait_type,value																																																					0xD4B61ef46aD352eA6B8846180C4fdd59f36056a1	ipfs://QmWGLKVYzVTPTo1h85E5tY15eKQqq71UsqYP5tK3jQqC6n/1022.png																																																															Board 1022																																																																																			
																																			The FANTAS																																																						10					trait_type,value																																																					0x71C97d36F1FEcC0a66726E104EEfb147F070c004	https://ipfs.io/ipfs/QmPs9hDLLJrgzgWMJCo8KGGo5ynkd72wMtErkDz571Aqyj																															https://www.fantasmas.io																																Fantasma #10																																																																																			
																																																																																									186					trait_type,value																																																					0xCf5872a978987f14a4093a12ba8Ca6C4712EaF50	http://cloudflare-ipfs.com/ipfs/QmaEq68rKoYz7DCVN7qk8qffEZFxufVYHcycVgxiiwzjdt/186.png																																																															Reaper 186																																																																																			
																									{'nft_id': 11160, 'owner_address': '0xCF76653E257341AEe3EaCea153Bb48E8B27E8391', 'title': 'Ethereum x Illusion | The Creative Crypto Magazine', 'card_title_row_count': 2, 'card_title_multiline': 'Ethereum x Illusion | The \nCreative Crypto Magazine ', 'description': 'Marble Card #11160 with a unique link to https://thecreativecrypto.com/ethereum-x-illusion/ | This URL can only exist on one card. \n\nCreating Marble Cards is a way to bookmark and show appreciation for web content. It’s an Internet indexing game where you can create, battle and trade unique NFT frames of web content. The image in the circle is not part of the Marble Card NFT. It comes from the OpenGraph and is shown as a preview of the linked URL, same as when shared on social media.', 'signature': None, 'signature_2k': None, 'bgr_algorithm': 'lithium', 'marbled': '2019-02-10T16:19:40+00:00', 'remarble_count': None, 'url': 'https://thecreativecrypto.com/ethereum-x-illusion/', 'creator_address': '0xCF76653E257341AEe3EaCea153Bb48E8B27E8391', 'level': 74, 'grade': 'BASIC', 'network_name': 'eth', 'game': {'color': 813, 'suit': 533, 'rank': 943, 'strength': 659}, 'card_gif': None, 'allowed_to_show_gif': None, 'rewards': None, 'auction': None, 'domain_collection': {'domain_name': 'Thecreativecrypto.com', 'domain_url': 'http://thecreativecrypto.com', 'domain_power': 800, 'domain_favicon_url': 'https://cdn.marble.cards/images/domain-favicon/0/59-thecreativecrypto.com.png', 'collection_number': 20, 'is_gold_card': False}, 'verified_by': None, 'current_verification_bid': None, 'accepted_verification_bid': None, 'verification_status': 'no_bid_placed', 'image_censored': None, 'image_censored_2k': None, 'censor_external_thumbnails': False, 'censor_internal_thumbnails': False, 'share_image': 'https://cdn.marble.cards/images/cards/11/11255/11255-share.png?version=1', 'share_image_2k': 'https://cdn.marble.cards/images/cards/11/11255/11255-share-2k.png?version=1', 'original_image': 'https://cdn.marble.cards/images/cards/11/11255/11255-page-image-original-cached.png', 'composite_image': {'card': 'https://cdn.marble.cards/images/cards/11/11255/11255.png?version=1', 'page_thumbnail': 'https://cdn.marble.cards/images/cards/11/11255/11255-page-thumbnail-hq.png?version=1', 'page_gif': None}, 'composite_image_2k': {'card': 'https://cdn.marble.cards/images/cards/11/11255/11255-2k.png?version=1', 'page_thumbnail': 'https://cdn.marble.cards/images/cards/11/11255/11255-page-thumbnail-2k.png?version=1', 'page_gif': None}, 'image': 'https://cdn.marble.cards/images/cards/11/11255/11255-share.png?version=1', 'image_2k': 'https://cdn.marble.cards/images/cards/11/11255/11255-share-2k.png?version=1'}										Marble Car																																																						11163					max_value,trait_type,display_type,value																																																					0x1d963688FE2209A98dB35C67A041524822Cf04ff	https://cdn.marble.cards/images/cards/11/11255/11255-share.png?version=1																															https://marble.cards/card/11160																																Ethereum x Illusion | The Creative Crypto Magazine																																																																																			
									#000000								1																		Angolith G								2000020																					https://ipfs.chainsafe.io/ipfs/Qme7ELofpxHxr4nBdYgVsPfA8vHuyoFZLjTgbQba9n4Wit																									2000020				https://ipfs.chainsafe.io/ipfs/QmVuG49zQn91DQ6iM7QZtfvxHWTxWtAbesLaMwL2cJz6w4	trait_type,value																						https://ipfs.chainsafe.io/ipfs/QmV6E3iZ3qyvgXZm5dhs5L9EuKBse2s6bhCyRG1vjk7iEs																															0xbEfe86fEF780285C32a8c00E828376B49A42D602	https://ipfs.chainsafe.io/ipfs/QmVt7u1GX1CUaxQJbtRsHFSr6rkbR8imRwxqTNc5CZEUtL																	True														https://metaliths.com/metalith/2000020						https://ipfs.chainsafe.io/ipfs/QmR9HZM3xWTR1PHKAeGwEobyQJsv5FcZXipBtsCwspBFcx																	https://ipfs.chainsafe.io/ipfs/QmbjWnY3GbhyJE3nzwZb8cDL13j4RkQKkcHQuWiLzuMgMd					{'random': {'method': 'generateSignedIntegers', 'hashedApiKey': '9kNrRR4FUAhGIgx7usBsMn6nbGFVFF68aXVHE9TJhUjfHxccax7z4gxCxWVoXQjXI9w+3Fltht5Edw3kYIvUzw==', 'n': 7, 'min': 0, 'max': 99999, 'replacement': True, 'base': 10, 'pregeneratedRandomization': None, 'data': [41490, 43068, 28771, 61462, 96166, 73553, 68681], 'license': {'type': 'gambling-virtual', 'text': 'Random values licensed for virtual item gambling only', 'infoUrl': None}, 'licenseData': None, 'userData': None, 'ticketData': None, 'completionTime': '2021-11-09 13:23:00Z', 'serialNumber': 426}, 'signature': 'FbCtJUqI2pvWPKyWXjmBlTmI4FtY+/0tFMEmGvnBhcgrTz0EJmpovB8C5cPZB++XrOMxQaCaz4agzfGC9b4Dy3QJwnRwoKLVFofIuD3cirw5zskFZZShbyIoSuLoD5OwIG0p4NDzUNgfMVD1eYgu0dM/O/hK31LrPbjsBpw2+jPF7G/5komqbrDmjS+KbICfMGTt5lrJW1+sbqciCaSre9iurnLQ8NsSLD/uSHS+UL2YxaVRlVKYOmi0NFHHHqMetDfzR9RDTYqXqJNX2Y2/yTmBkbGqwuma8O7FTSQZqtVOvZf2L0TTgYOjaPgd5nyZUmrmeGXl5xgdWpv37R8eCgKec0DjOGLoxnhBFOgzZoixidIFwT5mOwHH6LK1PSYw6wEvB3aKIVPGatganZ4rbvFmwcXsf/i/J3ybRNba3cOiyVmVuejj1ud1IIx5FnpwBh85ySaeNGaQbaLAVrwmuKU3jm5ZRBdF5NMD6Cgh0eyE2kiYRYP69IncLIMisrCJW2tdEK7E/rKYIofhMpOXS1RRtLI+sZfhL4nYqOwSpjrjmTVKHFYxd37TnUGaXU2TYO+N2Ojyc8hB6Nq0NerU6gEI+S4GQP/gOtumVV7XX1od4O5+4sWCMPNlKfrQoYmcGP2MnD06a8dhO9/7KiknLIhEZZZgA3ahv9silJNItI4='}				Metalith Gen 1 2000020																																					False																																														
																																			Perpetuati				https://art-sandbox.sunflower.industries/tokenFrame/0x26b4e571bfB26f3Bc729c3D9c662ff2d4736b927/134																																																		134					trait_type,value																																																					0x26b4e571bfB26f3Bc729c3D9c662ff2d4736b927	https://art-sandbox.sunflower.industries/render/tokenImage/0x26b4e571bfB26f3Bc729c3D9c662ff2d4736b927/134																															https://art.sunflower.industries/token/0x26b4e571bfB26f3Bc729c3D9c662ff2d4736b927/134																															0x243AE63fed8680067e16F63546d312AAC1f5d716	Perpetuation #134																																																																																"[{""name"":""p5@1.4.0"",""keccak256"":""0xcef1df742d5237151854b6ccd3d7769c7bcb2cf987e4f8f6ca1ad69afdac3dcc""}]"			
																																			Kokeshi is				https://api.kokeshi.world/storage/nfts/mp4/0f978bac-9c1e-4d5b-a543-6f16178eec27.mp4																																																		0					trait_type,value																																																					0x5cd881D5A46FCc18524ae2b632A5010c3422EcF9	https://api.kokeshi.world/storage/nfts/preview/0f978bac-9c1e-4d5b-a543-6f16178eec27.jpg																																																															Kokeshi Goddess #0																																																																																			
																																			Ghost Bros																																																						23					trait_type,value																																																					0x9FcB4F8Fc4F780303eE17F33A10ffeA1a52BCBA4	https://ghostbros.io/bro/image/23																																																															#23																																																																																			
																																			Use your C																																																						1003					trait_type,value																																																					0xd44b96c6b4778cc652D91F1E4f1933517354FEBB	data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHByZXNlcnZlQXNwZWN0UmF0aW89InhNaW5ZTWluIG1lZXQiIHZpZXdCb3g9IjAgMCAyMTYgMjc5Ij48c3R5bGU+LmJhc2UgeyBmaWxsOiB3aGl0ZTsgZm9udC1mYW1pbHk6IHNlcmlmOyBmb250LXNpemU6IDE0cHg7IH08L3N0eWxlPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIGZpbGw9ImJsYWNrIiAvPjx0ZXh0IHg9IjEwIiB5PSIyMCIgY2xhc3M9ImJhc2UiPlNUUjogMTE8L3RleHQ+PHRleHQgeD0iMTAiIHk9IjQwIiBjbGFzcz0iYmFzZSI+REVYOiAxMDwvdGV4dD48dGV4dCB4PSIxMCIgeT0iNjAiIGNsYXNzPSJiYXNlIj5DT046IDg8L3RleHQ+PHRleHQgeD0iMTAiIHk9IjgwIiBjbGFzcz0iYmFzZSI+SU5UOiA5PC90ZXh0Pjx0ZXh0IHg9IjEwIiB5PSIxMDAiIGNsYXNzPSJiYXNlIj5XSVM6IDEwPC90ZXh0Pjx0ZXh0IHg9IjEwIiB5PSIxMjAiIGNsYXNzPSJiYXNlIj5DSEE6IDE1PC90ZXh0Pjwvc3ZnPg==																																																															Char0 #1003																																																																																			
																																			Claudia Ha																	ipfs://QmWnrZ3wi9MoFueJrpbsRGBPpjUJYse8Cuo6BQ5KHxgfzr																																					102					trait_type,value																	{'url': 'ipfs://QmWnEndTNcPCQJUfih9cmZH8mQDeXVAfM66WyMQzb3P9ba/CHart-MatissePassesThroughMe-v4-3-Combine-2021.png', 'web_url': 'https://a.1stdibscdn.com/dist/nft/Claudia+Hart/Matisse4.3_NFTcomponent.jpg', 'poster_frame_url': None, 'mime_type': 'image/png', 'dimensions': '2700x3600', 'video_thumb': None}																																				0x7e88916c4dD22D6C1d04Ec87Ca54Bf777cA0B2B6	ipfs://QmWnEndTNcPCQJUfih9cmZH8mQDeXVAfM66WyMQzb3P9ba/CHart-MatissePassesThroughMe-v4-3-Combine-2021.png																															https://www.1stdibs.com/nft/art/matisse-passes-through-me-v43/id-n_HO5ZpobXfB/																																Matisse Passes Through Me v4.3																												2021																																																							
																																																																																									10059					trait_type,value																																																					0xC4e27C3F0706945932aDEE2b1D5Ce118B70f3Fe2	https://niftylabs.mypinata.cloud/ipfs/QmXAfgSBpug5w6ytvCeWok4JXUbLAnpdFyqenj9z1vaDgx/2.jpg																																																															Piece #2: Destructus																																																																																			
																																																																																									18																																																										0xa6eb2c3478287021a81cd2132522979A1c7Ae3D7																																																																																																																																																			
																																			8880 Lemur																																																						10																																																										0x13fAE7BA299E2377a3efca74c4A86AeC384726D5	ipfs://QmR2QUjDDGCvyrsv5VasPisoJHBweyrzongiMdPHj3ugCE/hidden.gif																																																															Leaping Lemurs																																																																																			
																																			Parents: C																																																						10					trait_type,value																																																					0x7eC8da4E10e536cb11463E98137f19e917943136	ipfs://QmWNESRCWTXN1e3obkySrJ2bDgdoExWwzK4Zh2kTW3Xatj																																																															Crypto Todler #10																																																																																			
																																			The Childh																																																						100					trait_type,value																																																					0x8103024d81D5Fe06b7dD9C0c5564BdeDDD7cA5aB	https://api.artbridge.io/images?id=100																															https://artbridge.io/projects/0																																Childhood #100																																																																																			
																																																																																									128																																																										0xc2FCe7D84B5664b2BA9Bfd0614a2457b19227e1B																																																																																																																																																			
																																																																																									10					trait_type,value																																																					0x12C4f45ae12B7B8462dB2409488d976995Ab6FE9	https://ipfs.io/ipfs/QmSCLzzAS9ttQqZ4ftYo1VmcEhpGtDkdiCCeUydqJbY5Np/10.png																															https://www.borpa.art																																Borphol 10/2250																																																																																			
																																			The burgla																																																						28		0-0-6-13-1-1-2-1-5-0-0-1-3-1-1-0			trait_type,display_type,value																																																					0xbA0845c428Cdc54B7Afe3A2dD216755738655612	ipfs://QmPTNz6XVPZU6MTtNj843X7DJNVpGAcCbi3fHm5JSHcTJD/28														4eac3a2917c03c8fb58a633dd2eba7dff7d940f7																																																	Burglar Cat #28																																																																																			
																																			The Lulupu																																																						1					trait_type,value																																																					0x620de236fccE1E061725f382be3D1bf689f29a5c	https://ipfs.io/ipfs/QmQSejP6LRJerQZ8WQYKxy3Bwguk4epW54VpcKkRuNcpSx																															https://www.lulupunk.io/Acx/Detail.aspx?key=1																																Lulupunk #1																																																																																			
																																			Alien Punk																																																						1067					rarity,trait_type,value																																																					0x9BF335f61A80686fc33f97A3A7F2e762f0b42622	https://alienpunksapi.xyz/images/1067.png																			1631133470825																																												#1067	000208000140100																																																																					1067													
